time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.56166514164e-07,3.13185789357e-07,10.0059462319,6.28268165864,0.000146624239441,0.0,-1.42168971665e-05,-6.35397276883e-06,0.198193464747,-0.0359554310775,0.00693121143859,0.0,467.0072125133482,467.5473935119379,468.15980457933085,465.35430815557544
0.12000000000000001,-6.10473203819e-06,-1.83178322756e-05,10.0205056677,6.28064467536,0.00102782471077,0.0,-0.000252485352875,-0.000824875630579,0.28710197989,-0.0302138330133,0.0268806815106,0.0,431.8397920922463,433.51894828761027,433.91895471570484,434.4000935294606
0.18,-5.32753364887e-05,-0.000137001852165,10.0441339725,6.27884579932,0.00220125559347,0.0,-0.00149357555466,-0.00334557785299,0.500437674096,-0.0295202243811,-0.00207623850091,0.0,472.3781075811143,470.1401740539963,471.92874268498986,471.98204029511714
0.23999999999999996,-0.000190481642996,-0.000439369143614,10.0782667595,6.27700878631,0.00225736255636,0.0,-0.00307678046953,-0.00692678612313,0.637254068988,-0.0329052836939,0.0063645480047,0.0,448.00356173208144,448.6892310665382,449.221408712164,448.94657230241506
0.3,-0.000420252661154,-0.000981797272741,10.1182803488,6.27536024761,0.00241554124553,0.0,-0.00460933625633,-0.0113260855673,0.696496362663,-0.0183768796527,-0.00611945976742,0.0,424.28374766330546,423.21069725655843,424.0467684981698,425.2925230314438
0.36000000000000004,-0.000742224495553,-0.00181263706832,10.1612504489,6.27388485914,0.00294397950962,0.0,-0.00613984940829,-0.0164841621699,0.735814506841,-0.0414497637953,0.0286101837209,0.0,416.33539019540757,419.36257475130964,418.59697891759123,416.5843615303567
0.4200000000000001,-0.00117700853871,-0.00299881821829,10.2079783602,6.27176899017,0.00500850884181,0.0,-0.00854365242816,-0.023282384038,0.821721216328,-0.0251189046585,0.0440240448572,0.0,432.21740732273315,433.5148587150077,432.4219509414627,433.7946379138033
0.48000000000000015,-0.00182198873547,-0.00467701945116,10.2636640883,6.2699495711,0.00718119253885,0.0,-0.0132505111451,-0.0328497079196,1.03429736343,-0.0435670041128,0.0120946653257,0.0,473.49368342744697,471.03166804917066,472.43988886803805,471.0152116537971
0.5400000000000001,-0.00275951121769,-0.00691532250791,10.327551101,6.26742269744,0.00766847134292,0.0,-0.018059636188,-0.0420068262956,1.0952089035,-0.0393581023071,-0.001326688399,0.0,425.3997236219395,424.2489402055794,425.8725595471537,426.2313228164227
0.6000000000000002,-0.00398873601681,-0.00974371000879,10.3946095921,6.26495061248,0.00777746252591,0.0,-0.0229161875544,-0.0524986254212,1.14002621299,-0.0451682793273,0.0074599773227,0.0,419.76981236570157,420.53149641454854,420.67822250532953,420.1738557446596
0.6600000000000003,-0.00553519279414,-0.0133026188486,10.4671756764,6.2622089159,0.00795620866542,0.0,-0.0286671348575,-0.0664226560014,1.27869182552,-0.0467692953596,-0.00796644600485,0.0,451.832001880859,450.58670860822446,449.5625406970776,449.4316140443292
0.7200000000000003,-0.00742850125293,-0.0177612932594,10.5482682888,6.2588835595,0.0072566322927,0.0,-0.034379196889,-0.0825165986497,1.4242179167,-0.084720889955,-0.0203169309265,0.0,453.0858385398339,452.0920204967644,454.5302782596897,451.476314756771
0.7800000000000004,-0.00962547225167,-0.0231945034629,10.6351551719,6.2536285976,0.00582614611256,0.0,-0.0387289669467,-0.0990755925212,1.47193835943,-0.0940231040115,-0.0320334246436,0.0,422.49231889328723,421.4808928032372,422.6394343670524,421.8301365092169
0.8400000000000004,-0.0120735817141,-0.0298344570251,10.7285254205,6.24789609268,0.00393596192419,0.0,-0.042659783745,-0.122886693782,1.64015663307,-0.098763939285,-0.0304631044103,0.0,460.2892530634252,460.4131835580707,460.3705784040525,459.9878945519632
0.9000000000000005,-0.014714421119,-0.0380258805733,10.8317481284,6.24191823586,0.00237073172854,0.0,-0.0451804552745,-0.150812284062,1.80033561802,-0.101422452769,-0.0185242336288,0.0,457.6768383617119,458.6258616659074,458.6823635391793,458.4629798552104
0.9600000000000005,-0.0174768425967,-0.0480366553985,10.9447895,6.23604848673,0.00258599113362,0.0,-0.04687053295,-0.18353698423,1.96740553039,-0.0914727051763,0.0289949090664,0.0,459.750272555748,463.49973780147434,460.0143456939955,460.79360696374204
1.0200000000000005,-0.0203482084717,-0.0600262416117,11.0654495398,6.23019345395,0.00391405011817,0.0,-0.0490006701537,-0.216672268281,2.05441110366,-0.114037349171,0.00261593999212,0.0,438.1606669186372,435.96227887469337,437.53737599043654,435.6461465395551
1.0800000000000005,-0.0233855773279,-0.0743658110976,11.1957080252,6.2234698107,0.00377616332456,0.0,-0.0522474276759,-0.262114612796,2.28705053184,-0.108377790791,-0.0145956135919,0.0,482.5667881256815,481.2659344506842,480.76453197662113,481.183015509552
1.1400000000000006,-0.0265909791895,-0.0912734433508,11.3346198851,6.21693002001,0.00329525928462,0.0,-0.0545363978932,-0.302089626589,2.34318595953,-0.110262444069,0.00266376993799,0.0,427.3213370283124,428.7901276565541,428.74964633763557,428.5785420174869
1.2000000000000006,-0.0299434453481,-0.111022220258,11.4815660885,6.21060778654,0.00299209982094,0.0,-0.0572121988516,-0.356937878159,2.55450985814,-0.0970491662175,-0.0286652790675,0.0,477.09790125873235,474.7000238493202,476.7649792380929,477.7644531844402
